,TagName,total,unanswered,url
0,javascript,1715257,488930,https://stackoverflow.com/questions/tagged/javascript?sort=newest&page={}&pagesize=50
1,java,1482402,411807,https://stackoverflow.com/questions/tagged/java?sort=newest&page={}&pagesize=50
2,c#,289305,44304,https://stackoverflow.com/questions/tagged/c#?sort=newest&page={}&pagesize=50
3,php,1242445,367325,https://stackoverflow.com/questions/tagged/php?sort=newest&page={}&pagesize=50
4,android,1152674,431047,https://stackoverflow.com/questions/tagged/android?sort=newest&page={}&pagesize=50
5,python,1058660,270757,https://stackoverflow.com/questions/tagged/python?sort=newest&page={}&pagesize=50
6,jquery,937926,252539,https://stackoverflow.com/questions/tagged/jquery?sort=newest&page={}&pagesize=50
7,html,786813,213576,https://stackoverflow.com/questions/tagged/html?sort=newest&page={}&pagesize=50
8,c++,593562,110155,https://stackoverflow.com/questions/tagged/c++?sort=newest&page={}&pagesize=50
9,ios,582609,190902,https://stackoverflow.com/questions/tagged/ios?sort=newest&page={}&pagesize=50
10,css,562064,143898,https://stackoverflow.com/questions/tagged/css?sort=newest&page={}&pagesize=50
11,mysql,541739,153411,https://stackoverflow.com/questions/tagged/mysql?sort=newest&page={}&pagesize=50
12,sql,466542,99116,https://stackoverflow.com/questions/tagged/sql?sort=newest&page={}&pagesize=50
13,asp.net,340130,101752,https://stackoverflow.com/questions/tagged/asp.net?sort=newest&page={}&pagesize=50
14,ruby-on-rails,299415,78688,https://stackoverflow.com/questions/tagged/ruby-on-rails?sort=newest&page={}&pagesize=50
15,c,289306,44305,https://stackoverflow.com/questions/tagged/c?sort=newest&page={}&pagesize=50
16,objective-c,286185,68763,https://stackoverflow.com/questions/tagged/objective-c?sort=newest&page={}&pagesize=50
17,arrays,283965,49875,https://stackoverflow.com/questions/tagged/arrays?sort=newest&page={}&pagesize=50
18,.net,276245,57254,https://stackoverflow.com/questions/tagged/.net?sort=newest&page={}&pagesize=50
19,r,263758,67413,https://stackoverflow.com/questions/tagged/r?sort=newest&page={}&pagesize=50
20,angularjs,255923,91628,https://stackoverflow.com/questions/tagged/angularjs?sort=newest&page={}&pagesize=50
21,node.js,250545,94052,https://stackoverflow.com/questions/tagged/node.js?sort=newest&page={}&pagesize=50
22,json,249164,73947,https://stackoverflow.com/questions/tagged/json?sort=newest&page={}&pagesize=50
23,sql-server,246471,61951,https://stackoverflow.com/questions/tagged/sql-server?sort=newest&page={}&pagesize=50
24,iphone,219725,46943,https://stackoverflow.com/questions/tagged/iphone?sort=newest&page={}&pagesize=50
25,swift,212900,70726,https://stackoverflow.com/questions/tagged/swift?sort=newest&page={}&pagesize=50
26,ruby,199872,41658,https://stackoverflow.com/questions/tagged/ruby?sort=newest&page={}&pagesize=50
27,regex,198099,22599,https://stackoverflow.com/questions/tagged/regex?sort=newest&page={}&pagesize=50
28,ajax,193761,67530,https://stackoverflow.com/questions/tagged/ajax?sort=newest&page={}&pagesize=50
29,django,183882,54842,https://stackoverflow.com/questions/tagged/django?sort=newest&page={}&pagesize=50
30,excel,181515,63314,https://stackoverflow.com/questions/tagged/excel?sort=newest&page={}&pagesize=50
31,xml,178097,49640,https://stackoverflow.com/questions/tagged/xml?sort=newest&page={}&pagesize=50
32,asp.net-mvc,175803,49877,https://stackoverflow.com/questions/tagged/asp.net-mvc?sort=newest&page={}&pagesize=50
33,linux,170440,45584,https://stackoverflow.com/questions/tagged/linux?sort=newest&page={}&pagesize=50
